name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Tommy Paul,2026-03-25,1728.0925619403602,1790.2188851530088,1537.7264262153387,1608.1536531482598,1662.044755412553,0.490566037735849,0.6382978723404256,0.5989459071990213,0.6022002530421612,0.5699014354045553,0.5891470950400001,-1.0,5.710072943262847,6.150047626667047,True
Aleksandar Kovacevic,2026-04-26,1722.1008259291707,1722.1008259291707,1634.4072091357627,1494.738095543567,1475.163234280922,0.5910400626159554,0.4375,0.4217628373063858,0.5278408492664091,0.5089544832370655,0.5089544832370655,2.0,10.9373339538,6.186715925353699,True
Matteo Berrettini,2026-04-09,1720.0016085747031,1764.4156337675508,1674.52727317349,1640.740461563821,1610.5505435880473,0.6444971188509361,0.7391304347826086,0.5777632518564356,0.6509913074474838,0.5864211520085088,0.576844712771584,-1.0,6.810831069511515,5.797319295519702,True
Aleksander Vukic,2026-04-26,1716.397634001838,1716.397634001838,1562.656306477921,1500.0,1490.691743536869,0.5912971175166296,0.5,0.425,0.6385005299753141,0.6240405511743268,0.6240405511743268,2.0,20.0,3.0,True
Alec Beckley,2026-04-24,1709.1801829987835,1709.1801829987835,1527.7529806578427,1500.0,1500.0,0.46720575022461813,0.5,0.5,0.5903924049432953,0.6022002530421612,0.6022002530421612,-1.0,45.0,2.0,True
Joao Fonseca,2026-04-17,1703.918761928843,1703.918761928843,1533.2976671414492,1509.7527269943992,1607.53111431385,0.5723935029929315,0.5,0.607101109022017,0.6152772745837577,0.6366481803552885,0.5972706248223622,-1.0,6.246587108253644,7.965864863530128,True
Andrey Rublev,2026-04-19,1702.890677044146,1832.8850491151068,1674.1734974978838,1582.9199184575448,1673.7735276189208,0.68161383390625,0.6388888888888888,0.4889647625138274,0.6424539358299204,0.6105813027742504,0.6101327498444802,-1.0,5.21452672976697,7.064856650381033,True
Lorenzo Musetti,2026-04-17,1702.7928248315886,1750.658568423277,1619.5219832065468,1582.6934914958783,1563.5289372162365,0.550144068877551,0.5897435897435898,0.4130281690140845,0.5089544832370655,0.51516715008,0.4846080000000001,-1.0,9.299906265060242,4.048731709359694,True
Alessandro Giannessi,2026-04-27,1702.169139785429,1702.169139785429,1643.6287971648678,1500.0,1500.0,0.5542459601220538,0.5,0.5,0.5859797839919836,0.569418975351663,0.569418975351663,2.0,39.8,3.0,True
Sebastian Korda,2026-03-24,1698.9331364811333,1789.889625502396,1530.6447753863797,1568.1697964849595,1689.2560074822757,0.5208333333333334,0.6,0.5879770633916847,0.6122666705985393,0.5691989575631996,0.5469699604480001,-1.0,6.218367315537242,5.383590140149681,True
