player_key,player,elo_current,elo_peak,wr_overall_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,form10,form5,streak,avg_rest_days,rank_latest,matches_played,wins,last_date,raw_win_rate
alexei popyrin,Alexei Popyrin,1677.0285414613343,1689.4502429999075,0.4888888888888889,0.4897959183673469,0.35714285714285715,0.5203252032520326,0.6,0.6,-1,8.623529411764705,,170,83,2025-08-15,0.48823529411764705
ugo humbert,Ugo Humbert,1676.5738106053468,1762.7558983657827,0.5196078431372549,0.3333333333333333,0.5217391304347826,0.5735294117647058,0.6,0.2,-1,7.412371134020619,,194,101,2025-08-15,0.520618556701031
felix auger aliassime,Felix Auger Aliassime,1676.198856786403,1806.5747957692374,0.6113207547169811,0.5652173913043478,0.5555555555555556,0.6243093922651933,0.6,0.6,-1,5.8313725490196076,,256,157,2025-08-19,0.61328125
jordan thompson,Jordan Thompson,1673.7043276668421,1680.3162666731325,0.5080213903743316,0.3333333333333333,0.5849056603773585,0.5206611570247934,0.6,0.6,-1,8.016949152542374,,177,90,2025-07-07,0.5084745762711864
jiri lehecka,Jiri Lehecka,1673.5931986539172,1720.3209532319443,0.546583850931677,0.5121951219512195,0.5,0.559322033898305,0.6,0.6,-1,7.662251655629139,,151,83,2025-08-17,0.5496688741721855
casper ruud,Casper Ruud,1672.4152929575037,1846.4010767250438,0.68,0.7681159420289855,0.47619047619047616,0.6086956521739131,0.4,0.4,-2,5.106896551724138,,290,199,2025-08-13,0.6862068965517242
frances tiafoe,Frances Tiafoe,1670.3436733341036,1738.2450282071825,0.5905511811023622,0.5370370370370371,0.575,0.6,0.5,0.6,-1,6.258196721311475,,244,145,2025-08-17,0.5942622950819673
arthur fils,Arthur Fils,1670.2501864687551,1704.9230423559932,0.5702479338842975,0.5581395348837209,0.5238095238095238,0.5714285714285714,0.5,0.4,-1,7.351351351351352,,111,64,2025-07-31,0.5765765765765766
flavio cobolli,Flavio Cobolli,1666.3724068426968,1695.8046007140035,0.5306122448979592,0.5,0.5454545454545454,0.5344827586206896,0.6,0.4,-2,9.852272727272727,,88,47,2025-08-13,0.5340909090909091
gael monfils,Gael Monfils,1662.9952762419396,1688.2735689412243,0.5486111111111112,0.3870967741935484,0.5217391304347826,0.5909090909090909,0.5,0.4,-1,9.082089552238806,,134,74,2025-07-03,0.5522388059701493
lorenzo musetti,Lorenzo Musetti,1648.3801164800907,1750.5406556380153,0.5378486055776892,0.6020408163265306,0.5897435897435898,0.4701492537313433,0.4,0.2,-2,6.141078838174274,,241,130,2025-08-13,0.5394190871369294
francisco cerundolo,Francisco Cerundolo,1640.7972161490204,1693.3479122529504,0.5346534653465347,0.5925925925925926,0.46153846153846156,0.4772727272727273,0.6,0.6,-1,7.192708333333333,,192,103,2025-08-02,0.5364583333333334
tomas machac,Tomas Machac,1634.8952414154212,1708.8840512110912,0.5339805825242718,0.5666666666666667,0.4375,0.5324675324675324,0.4,0.2,-3,12.064516129032258,,93,50,2025-08-13,0.5376344086021505
alex michelsen,Alex Michelsen,1623.0842464339512,1631.364899071823,0.5208333333333334,0.42105263157894735,0.5185185185185185,0.5428571428571428,0.6,0.6,-1,7.5,,86,45,2025-08-15,0.5232558139534884
brandon nakashima,Brandon Nakashima,1616.3538350695267,1678.0269742318353,0.5425531914893617,0.48484848484848486,0.5384615384615384,0.5514705882352942,0.4,0.4,-1,7.415730337078652,,178,97,2025-08-15,0.5449438202247191
cameron norrie,Cameron Norrie,1612.5726895191772,1778.0016123215908,0.6162361623616236,0.6511627906976745,0.6190476190476191,0.5828220858895705,0.6,0.4,-3,5.743295019157088,,261,162,2025-08-13,0.6206896551724138
roberto bautista agut,Roberto Bautista Agut,1610.8509379255481,1685.0614145227182,0.5539906103286385,0.509090909090909,0.5952380952380952,0.5514705882352942,0.6,0.2,-1,7.251231527093596,,203,113,2025-08-15,0.5566502463054187
tallon griekspoor,Tallon Griekspoor,1605.4337552103038,1684.5129372821973,0.5052083333333334,0.46,0.5675675675675675,0.504,0.2,0.2,-4,7.950549450549451,,182,92,2025-08-13,0.5054945054945055
kei nishikori,Kei Nishikori,1602.7812612345022,1626.8499378445752,0.56,0.56,0.4666666666666667,0.5636363636363636,0.5,0.4,-2,9.246153846153845,153.0,65,37,2024-10-21,0.5692307692307692
