player,last_date,current_elo,peak_elo,win_rate_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,avg_rest_days,matches_28d,streak,n_matches
Nick Kyrgios,2023-06-12,1739.4213749870855,1779.8734522983857,0.6666666666666666,0.5714285714285714,0.6451612903225806,0.6415094339622641,8.25,1,-2,68
Holger Rune,2025-07-01,1738.555175575782,1827.5167249244075,0.6153846153846154,0.611764705882353,0.5357142857142857,0.6170212765957447,6.25,1,-2,224
Hubert Hurkacz,2024-10-28,1737.306210684567,1807.3767918057022,0.6486486486486487,0.6071428571428571,0.6341463414634146,0.6483516483516484,5.7028112449799195,1,-2,249
Tommy Paul,2025-07-03,1730.789963616873,1790.457024823865,0.6046511627906976,0.49056603773584906,0.6382978723404256,0.6179775280898876,5.907258064516129,2,-1,248
Rafael Nadal,2024-11-19,1719.808663880889,1884.6991018672682,0.7321428571428571,0.7333333333333333,0.625,0.6785714285714286,9.009803921568627,1,-2,102
Stefanos Tsitsipas,2025-07-01,1717.6607466053524,1832.3158634284712,0.6955128205128205,0.7706422018348624,0.5428571428571428,0.6595744680851063,4.814569536423841,1,-2,302
Ben Shelton,2025-07-09,1711.7050051863273,1732.384146867823,0.572463768115942,0.4838709677419355,0.5357142857142857,0.5959595959595959,6.8125,5,-1,128
Matteo Berrettini,2025-07-01,1708.906285499472,1764.0700985288772,0.6910112359550562,0.7547169811320755,0.7391304347826086,0.5959595959595959,7.791666666666667,1,-1,168
Ugo Humbert,2025-07-01,1703.0445376762343,1762.7558983657827,0.5223880597014925,0.3333333333333333,0.5217391304347826,0.5789473684210527,7.293193717277487,1,-2,191
Andrey Rublev,2025-07-07,1687.077466289341,1832.7924137438636,0.678343949044586,0.6823529411764706,0.6388888888888888,0.6666666666666666,4.848684210526316,4,-1,304
Flavio Cobolli,2025-07-09,1681.8800656193291,1685.4509735482293,0.5319148936170213,0.5,0.5454545454545454,0.5370370370370371,9.904761904761905,5,-1,84
Arthur Fils,2024-12-18,1680.1497795086984,1704.9230423559932,0.5726495726495726,0.5581395348837209,0.5238095238095238,0.5733333333333334,7.046728971962617,1,-2,109
Lorenzo Musetti,2025-07-01,1674.2867717203692,1750.5406556380153,0.5403225806451613,0.6020408163265306,0.5897435897435898,0.4732824427480916,6.03781512605042,1,-4,238
Jordan Thompson,2025-07-07,1673.7043276668421,1680.3162666731325,0.5080213903743316,0.3333333333333333,0.5849056603773585,0.5206611570247934,8.016949152542374,4,-1,177
Casper Ruud,2024-11-11,1670.6877054360764,1846.4010767250438,0.6860068259385665,0.7681159420289855,0.47619047619047616,0.6114649681528662,4.968197879858657,6,1,286
Tomas Machac,2025-07-03,1667.357291787476,1708.8840512110912,0.5445544554455446,0.5666666666666667,0.4375,0.5466666666666666,11.87912087912088,2,-1,91
Gael Monfils,2025-07-03,1662.9952762419396,1688.2735689412243,0.5486111111111112,0.3870967741935484,0.5217391304347826,0.5909090909090909,9.082089552238806,2,-1,134
Frances Tiafoe,2025-07-03,1659.738862276158,1738.2450282071825,0.5887096774193549,0.5370370370370371,0.575,0.5977011494252874,6.226890756302521,2,-1,238
Jiri Lehecka,2025-07-03,1657.9876408824782,1720.3209532319443,0.5419354838709678,0.5121951219512195,0.5,0.5535714285714286,7.6689655172413795,2,-1,145
