k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
22,16,365,2.0,39613,2022-04-18 00:00:00,0.769990307472132,0.7450862922227697,0.1949357457176366,0.20452786673857212,0.6702006815600151,0.54
24,14,365,1.8,39613,2022-04-18 00:00:00,0.7702415499415447,0.7450820857995614,0.1948489520197618,0.20450815906066722,0.6762589928057554,0.555
22,14,500,2.0,39613,2022-04-18 00:00:00,0.7697730693302192,0.7450763497679138,0.19504282496240558,0.20452615743056693,0.6743657705414615,0.555
24,20,500,1.8,39613,2022-04-18 00:00:00,0.76998683414736,0.745073545485775,0.19495481262048944,0.20452061759824244,0.6725987630947873,0.545
22,24,365,2.2,39613,2022-04-18 00:00:00,0.7697700022888494,0.7450688291930869,0.1950156728812188,0.20452994717124068,0.6660355925785687,0.485
24,16,365,1.8,39613,2022-04-18 00:00:00,0.7702168064857139,0.7450637304982891,0.19485624379542857,0.2045229833368538,0.6712104001009719,0.54
32,20,240,1.8,39613,2022-04-18 00:00:00,0.7705710577302785,0.7450630931614394,0.1947333839732963,0.2045141280716045,0.6722201186419285,0.505
32,24,240,1.8,39613,2022-04-18 00:00:00,0.7705802668207293,0.7450621371561648,0.19472839054492377,0.2045220024751254,0.6723463334595482,0.505
32,18,240,1.8,39613,2022-04-18 00:00:00,0.7705647802533967,0.745061372351945,0.19473731962145546,0.20451310091031774,0.6718414741890698,0.505
32,16,500,1.5,39613,2022-04-18 00:00:00,0.7703849839152201,0.7450578032655866,0.19482320588951452,0.20450450372721762,0.6727249779124069,0.515
24,18,365,1.8,39613,2022-04-18 00:00:00,0.770183865664767,0.7450455026643866,0.19486614693871776,0.20453453581748496,0.6703268963776348,0.54
32,16,240,1.8,39613,2022-04-18 00:00:00,0.7705487161263255,0.7450451202622769,0.19474415858544386,0.2045087139384321,0.6709579704657327,0.505
22,18,365,2.0,39613,2022-04-18 00:00:00,0.7699427404487045,0.7450414874422333,0.19495290603812848,0.20454175398657184,0.6660355925785687,0.485
32,12,240,1.8,39613,2022-04-18 00:00:00,0.7705016191170297,0.745028294569444,0.19476006185009503,0.2045096119694086,0.6719676890066894,0.505
24,20,365,1.8,39613,2022-04-18 00:00:00,0.7701494351380119,0.7450237694778108,0.1948773901389147,0.20454521626913494,0.6718414741890698,0.545
22,18,500,2.2,39613,2022-04-18 00:00:00,0.769570612734441,0.745018607049328,0.19512014611183673,0.20455887235594059,0.6733560520005049,0.555
32,18,500,1.5,39613,2022-04-18 00:00:00,0.7703969931746102,0.7450180334461631,0.19481707441918905,0.20451991532896008,0.6724725482771677,0.515
32,20,500,1.5,39613,2022-04-18 00:00:00,0.7703995822355068,0.7450175235766834,0.19481493513287093,0.20452354414672846,0.6728511927300265,0.515
22,16,500,2.0,39613,2022-04-18 00:00:00,0.7697226901883407,0.7450139544903249,0.19506083572640617,0.20455142004313573,0.6727249779124069,0.545
32,14,500,1.5,39613,2022-04-18 00:00:00,0.7703709910368663,0.7450111502081861,0.19482655818666073,0.2045108461999832,0.6729774075476461,0.515
24,24,500,1.8,39613,2022-04-18 00:00:00,0.7698883900857274,0.7450107678060763,0.19498725282394538,0.20455060376499432,0.6732298371828853,0.545
32,12,500,1.5,39613,2022-04-18 00:00:00,0.7703530986344851,0.745006688850238,0.1948333943774106,0.20450484303052,0.6724725482771677,0.515
22,20,365,2.0,39613,2022-04-18 00:00:00,0.7698919072253763,0.7449906916953096,0.1949701205719551,0.20455587038045084,0.6707055408304935,0.53
