player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,last_match_date,win_rate,peak_elo,current_elo,current_selo_Clay,current_selo_Grass,current_selo_Hard,wr_Clay,wr_Grass,wr_Hard,Other_x,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,Other_y,days_since_last
Thiago Monteiro,222,92,130,11.64864864864865,1,0.3,0.2,-1,2024-11-04,0.4144,1593.4818285717238,1527.7196254785788,1518.4552558526996,1496.7570184152878,1477.7913482176998,0.4773,0.2222,0.325,1.0,132.0,9.0,80.0,1.0,44
Corentin Moutet,156,65,91,12.551282051282051,5,0.4,0.6,-1,2024-11-04,0.4167,1584.4832224605395,1526.894162635272,1504.3949352523032,1498.9468836997935,1482.2654484006584,0.4,0.4375,0.4267,,65.0,16.0,75.0,0.0,44
Borna Gojo,42,20,22,23.761904761904763,0,0.4,0.4,0,2024-09-13,0.4762,1584.1303677755188,1526.4106032560107,1500.007382974058,1498.8736433037295,1515.4850087046746,0.3333,0.0,0.5135,,3.0,2.0,37.0,0.0,96
Hugo Gaston,96,40,56,14.760416666666666,5,0.4,0.8,-1,2024-11-04,0.4167,1598.6310140406165,1525.7224593479464,1485.0282488539226,1500.1848443031254,1488.0956802719866,0.5,0.5,0.34,,40.0,6.0,50.0,0.0,44
Thiago Agustin Tirante,17,8,9,23.941176470588236,0,0.5,0.6,-1,2024-10-14,0.4706,1537.873184824371,1525.2959173242944,1509.167161695499,1500.0,1500.5915311587805,0.5,,0.3333,,14.0,0.0,3.0,0.0,65
Mohamed Safwat,40,16,24,37.35,1,0.7,0.8,-1,2024-09-13,0.4,1527.5679268647314,1525.1861988745466,1516.7625507270493,1500.0,1499.9364407601893,0.5,0.5,0.3,0.5,16.0,2.0,20.0,2.0,96
Billy Harris,15,8,7,13.133333333333333,1,0.5,0.4,-1,2024-10-02,0.5333,1556.5012359011218,1524.64486514294,1500.0,1517.065860022685,1500.586473377713,,0.6,0.4,,0.0,10.0,5.0,0.0,77
Fabio Fognini,677,368,309,6.960118168389956,2,0.3,0.2,-1,2024-11-04,0.5436,1775.0831378033004,1523.625589242656,1520.096663621198,1499.7988525586156,1465.4719551336955,0.6012,0.5676,0.479,,331.0,37.0,309.0,0.0,44
Zsombor Piros,17,10,7,40.64705882352941,1,0.6,0.6,2,2024-09-13,0.5882,1535.1392009584151,1522.648044268466,1507.3286692925055,1500.0,1500.4084652736092,0.5714,,0.6,,7.0,0.0,10.0,0.0,96
Yibing Wu,48,21,27,17.9375,3,0.4,0.4,0,2024-10-02,0.4375,1590.9728716240945,1521.9642919168593,1497.1243203601211,1497.852865749192,1517.5180883508476,0.3333,0.2,0.5,,9.0,5.0,34.0,0.0,77
Andy Murray,654,481,173,6.18960244648318,4,0.4,0.2,-1,2024-06-17,0.7355,2091.974311404753,1521.9067698435506,1489.848312817101,1501.2413254471387,1515.7838745401407,0.7241,0.8081,0.7221,,116.0,99.0,439.0,0.0,184
Nick Kyrgios,328,210,118,8.527439024390244,0,0.7,0.6,-1,2023-06-12,0.6402,1829.9037450912463,1520.4369731087884,1500.0582400203912,1503.2468823057666,1502.105254145861,0.5686,0.6491,0.6545,,51.0,57.0,220.0,0.0,555
Adrian Mannarino,632,299,333,7.343354430379747,6,0.4,0.4,-1,2024-11-04,0.4731,1712.7762106990037,1520.4218328175389,1473.3488383163337,1500.1399622020447,1526.0899787230007,0.2192,0.5833,0.4852,,73.0,120.0,439.0,0.0,44
Christopher Oconnell,117,47,70,12.017094017094017,4,0.4,0.4,0,2024-11-04,0.4017,1584.3291727163007,1520.0550904582994,1483.2718084982948,1501.3835432806698,1500.3833618796211,0.36,0.4,0.4146,,25.0,10.0,82.0,0.0,44
